vendor_code,vendor_name,detail,nominal_code,account_name
lidl,Lidl Great Britain Lim Surbiton GB,Lidl Great Britain Lim Surbiton GB,105,EV Charging
octopus,Octopus Intelligent Drive Pack Paul Keating:,Octopus Intelligent Drive Pack Paul Keating:,105,EV Charging
mileiq,Mileiq Uk Annual Sub Mileiq.Com Ca,Mileiq Uk Annual Sub Mileiq.Com Ca,269,Computer Software
amazon,AMAZON* N22ES3KU4 Multi charger for passengers,AMAZON* N22ES3KU4 Multi charger for passengers,271,Office Equipment
o2,O2 (Direct Debit),O2 (Direct Debit),274,Telephone
telefonica,Telefonica Uk Limi (Direct Credit),Telefonica Uk Limi (Direct Credit),274,Telephone
tesco,Tesco Mobile Paul Keating:,Tesco Mobile Paul Keating:,274,Telephone
waitrose,Waitrose - water for pax,Waitrose - water for pax,279,"Water, Tissues & Newspapers for Passengers"
amazon,amazon Ispropanolpdf Paul Keating:,amazon Ispropanolpdf Paul Keating:,281,Motor Expenses - Maintenance
five,FIVE STAR SERVICE STAT LONDON GB,FIVE STAR SERVICE STAT LONDON GB,281,Motor Expenses - Maintenance
halfords,HALFORDS 0535 BALHAM GB,HALFORDS 0535 BALHAM GB,281,Motor Expenses - Maintenance
halfords,HALFORDS 0434 Windscreen wiper,HALFORDS 0434 Windscreen wiper,281,Motor Expenses - Maintenance
nyx,NYX*Asda Frome GB,NYX*Asda Frome GB,281,Motor Expenses - Maintenance
nyx,Nyx*Bp Tyre pressure,Nyx*Bp Tyre pressure,281,Motor Expenses - Maintenance
nyx,NYX*MotorFuelLimited Radstock GB,NYX*MotorFuelLimited Radstock GB,281,Motor Expenses - Maintenance
nyx,Nyx*Petrogas Tyre pressure,Nyx*Petrogas Tyre pressure,281,Motor Expenses - Maintenance
nyx,NYX*Shell Dorchester GB,NYX*Shell Dorchester GB,281,Motor Expenses - Maintenance
sainsburys,Sainsburys S/Mkts Frome Gb,Sainsburys S/Mkts Frome Gb,281,Motor Expenses - Maintenance
sainsburys,Sainsburys Wandsworth tyre pressure,Sainsburys Wandsworth tyre pressure,281,Motor Expenses - Maintenance
www.amazon.dr.,Www.Amazon.Dr. Beckmann Carpet Stain Remover,Www.Amazon.Dr. Beckmann Carpet Stain Remover,281,Motor Expenses - Maintenance
bell,Bell Insurance Brokers Grimsby Additional premium for new ID7,Bell Insurance Brokers Grimsby Additional premium for new ID7,282,Motor Expenses - Insurance
private,Private Hire Insurance Policy Number: HVNTX-1090202,Private Hire Insurance Policy Number: HVNTX-1090202,282,Motor Expenses - Insurance
amazon,AMAZON* J95ER40G5 LONDON GB,AMAZON* J95ER40G5 LONDON GB,283,Motor Expenses
brimsmore,BRIMSMORE GARDENS YEOVIL GB,BRIMSMORE GARDENS YEOVIL GB,284,Subsistence
cassandra's,Cassandra's Cup - iChauffeur Tour job no 26520204 8 hours a/d,Cassandra's Cup - iChauffeur Tour job no 26520204 8 hours a/d,284,Subsistence
fleet,Fleet South Pret Fleet Gb,Fleet South Pret Fleet Gb,284,Subsistence
food brighton,Food - Brighton,Food - Brighton,284,Subsistence
greggs,GREGGS PLC DORCHESTER GB,GREGGS PLC DORCHESTER GB,284,Subsistence
greggs,GREGGS NUNNEY CATCH FROME GB,GREGGS NUNNEY CATCH FROME GB,284,Subsistence
greggs,GREGGS PLC SHEPTON MALLE GB,GREGGS PLC SHEPTON MALLE GB,284,Subsistence
la,"La Bella Restaurant Shepton Mallet - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester","La Bella Restaurant Shepton Mallet - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester",284,Subsistence
mcdonalds,Mcdonalds 1708 Job No 26520661 - Bath,Mcdonalds 1708 Job No 26520661 - Bath,284,Subsistence
nandos.co.uk dorchester,NANDOS.CO.UK Dorchester,NANDOS.CO.UK Dorchester,284,Subsistence
national,NATIONAL TRUST WARMINSTER GB,NATIONAL TRUST WARMINSTER GB,284,Subsistence
pret,PRET A MANGER 13/6/25 _ Winchester - Egham,PRET A MANGER 13/6/25 _ Winchester - Egham,284,Subsistence
shepton,"Shepton Brasserie Shepton Mallet - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester","Shepton Brasserie Shepton Mallet - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester",284,Subsistence
sq,"Sq *Blended Kitchen Bath - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester","Sq *Blended Kitchen Bath - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester",284,Subsistence
under,UNDER THE GREEN WOOD T DORCHESTER GB,UNDER THE GREEN WOOD T DORCHESTER GB,284,Subsistence
welcome,Welcome Break Fleet No Fleet North Gb,Welcome Break Fleet No Fleet North Gb,284,Subsistence
welcome,Welcome Break Membury Job no 26520661 Bath,Welcome Break Membury Job no 26520661 Bath,284,Subsistence
wise,The Wise Man Inn Dorchester GB,The Wise Man Inn Dorchester GB,284,Subsistence
booking.com,Booking.com - Dorchester Paul Keating:,Booking.com - Dorchester Paul Keating:,285,Lodging/Hotels
booking.com,Booking.com - Shepton Mallet Paul Keating:,Booking.com - Shepton Mallet Paul Keating:,285,Lodging/Hotels
hotel,"Hotel At Booking.Com - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester","Hotel At Booking.Com - iChauffeur Tour 3/6 - 11/6 Bath, Somerset & Dorchester",285,Lodging/Hotels
alan,ALAN DAY VOLKSWAGEN LONDON NW3 GB,ALAN DAY VOLKSWAGEN LONDON NW3 GB,286,Motor Expense - Car Tax
dvla,DVLA (Direct Debit),DVLA (Direct Debit),286,Motor Expense - Car Tax
anduff,ANDUFF CAR WASH LIMITE Buckinghamshi GB,ANDUFF CAR WASH LIMITE Buckinghamshi GB,287,Car Wash
imo,IMO CAR WASH ELMERS EN KENT GB,IMO CAR WASH ELMERS EN KENT GB,287,Car Wash
imo,IMO CAR WASH MERTON LONDON SW19 GB,IMO CAR WASH MERTON LONDON SW19 GB,287,Car Wash
imo,IMO CAR WASH WINCHESTE WINCHESTER GB,IMO CAR WASH WINCHESTE WINCHESTER GB,287,Car Wash
one,One Hand Car Wash Thornton Heat GB,One Hand Car Wash Thornton Heat GB,287,Car Wash
rush,Rush Hill Car Wash Bath Gb,Rush Hill Car Wash Bath Gb,287,Car Wash
sq,SQ *NDREU2000 LTD Frome GB,SQ *NDREU2000 LTD Frome GB,287,Car Wash
star,Star Car Wash Paul Keating:,Star Car Wash Paul Keating:,287,Car Wash
star,Star car wash Thornton Heath Paul Keating:,Star car wash Thornton Heath Paul Keating:,287,Car Wash
intellitax,Intellitax accounting fees,Intellitax accounting fees,292,Accountancy Fees
post,POST OFFICE COUNTER LONDON GB,POST OFFICE COUNTER LONDON GB,358,Postage
post,POST OFFICE COUNTER - return p22exe licence to TFL,POST OFFICE COUNTER - return p22exe licence to TFL,358,Postage
bounce,Bounce Back Loan (Loan Repayment),Bounce Back Loan (Loan Repayment),362,Interest Payable
interest,INTEREST,INTEREST,362,Interest Payable
uber,Uber Bv (Faster Payments In),Uber Bv (Faster Payments In),363,Bank/Finance Charges
uber,Uber instant pay fees,Uber instant pay fees,363,Bank/Finance Charges
use,Use of home — simplified expenses £10/month × 12 — Year ended 31 March 2026,Use of home — simplified expenses £10/month × 12 — Year ended 31 March 2026,366,Use Of Home
boots,Boots Opticians TFL Licence form completion,Boots Opticians TFL Licence form completion,367,"Statutory Fees, Licenses and permits"
disclosure,Disclosure & Barring Liverpool Gb,Disclosure & Barring Liverpool Gb,367,"Statutory Fees, Licenses and permits"
fadv.co.uk,Fadv.Co.Uk Know Your People - DBS Certificate,Fadv.Co.Uk Know Your People - DBS Certificate,367,"Statutory Fees, Licenses and permits"
north,North Croydon Medical Centre - Fee for TFL medical report (cash) Paul Keating:,North Croydon Medical Centre - Fee for TFL medical report (cash) Paul Keating:,367,"Statutory Fees, Licenses and permits"
taxi,Taxi Private Hire TFL PH License fees,Taxi Private Hire TFL PH License fees,367,"Statutory Fees, Licenses and permits"
tfl,TFL Taxi Private Hire (Card Payment) Vehicle Licence Fee,TFL Taxi Private Hire (Card Payment) Vehicle Licence Fee,367,"Statutory Fees, Licenses and permits"
disposal,Disposal of Mercedes E200d — clear accumulated depreciation,Disposal of Mercedes E200d — clear accumulated depreciation,386,Motor Expenses — Car Tax — Private Use
disposal,Disposal of Mercedes E200d — Remove from Balance Sheet after sale,Disposal of Mercedes E200d — Remove from Balance Sheet after sale,386,Motor Expenses — Car Tax — Private Use
personal,Personal Use Adjustment,Personal Use Adjustment,386,Motor Expenses — Car Tax — Private Use
pk25tax,PK25TAX,PK25TAX,386,Motor Expenses — Car Tax — Private Use
vw,VW ID7 registration fee,VW ID7 registration fee,386,Motor Expenses — Car Tax — Private Use
vw,Purchase of VW ID7 - PK25TAX - Hampstead VW - 9 Jun 2025,Purchase of VW ID7 - PK25TAX - Hampstead VW - 9 Jun 2025,620,Prepayments
invoice,Invoice 18220,Invoice 18220,681,Trade Debtors
invoice,Invoice receipt against 18220 Invoice Receipt,Invoice receipt against 18220 Invoice Receipt,681,Trade Debtors
bounce,Bounce Back Loan (Loan Repayment),Bounce Back Loan (Loan Repayment),731,Bounce Back Loan
brought forward,Brought Forward,Brought Forward,731,Bounce Back Loan
